algoritmo,cenario,n,tempo_segundos
pivo_fixo,aleatoria,2000,0.001407
pivo_fixo,aleatoria,4000,0.003122
pivo_fixo,aleatoria,8000,0.007197
pivo_fixo,aleatoria,16000,0.017410
pivo_fixo,aleatoria,32000,0.040441
pivo_aleatorio,aleatoria,2000,0.002191
pivo_aleatorio,aleatoria,4000,0.004668
pivo_aleatorio,aleatoria,8000,0.010795
pivo_aleatorio,aleatoria,16000,0.023418
pivo_aleatorio,aleatoria,32000,0.046501
pivo_fixo,ordenada,2000,0.062398
pivo_fixo,ordenada,4000,0.196596
pivo_fixo,ordenada,8000,0.766886
pivo_fixo,ordenada,16000,3.735941
pivo_fixo,ordenada,32000,13.277001
pivo_aleatorio,ordenada,2000,0.001255
pivo_aleatorio,ordenada,4000,0.002848
pivo_aleatorio,ordenada,8000,0.005835
pivo_aleatorio,ordenada,16000,0.012731
pivo_aleatorio,ordenada,32000,0.025238
